27.067,2,67
27.0741,5,74
27.0785,18,78
27.084,6,83
27.0898,17,89
27.0997,12,99
27.1127,7,112
27.1163,11,116
27.1264,16,126
27.137,14,136
28.0078,13,7
28.0088,5,8
28.0153,4,15
28.0176,16,17
28.02,9,19
28.0383,10,38
28.0425,7,42
28.043,17,42
28.0494,12,49
28.0514,18,51
28.0653,3,65
28.0677,8,67
28.0702,15,70
28.084,1,84
28.1093,11,109
28.1195,2,119
28.1226,6,122
28.1445,14,144
29.0028,9,2
29.0085,12,8
29.0154,6,15
29.0197,5,19
29.0222,15,22
29.0263,10,26
29.0342,13,34
29.0439,18,43
29.0661,17,66
29.0683,1,68
29.0795,16,79
29.0796,7,79
29.0858,11,85
29.1019,3,101
29.1044,14,104
29.1104,8,110
29.1264,4,126
29.1352,2,135
30.0156,9,15
30.0251,13,25
30.0396,3,39
30.0403,4,40
30.0697,14,69
30.0766,2,76
30.0836,7,83
30.0892,12,89
30.0948,15,94
30.0995,6,99
30.1014,18,101
30.1143,1,114
30.1213,5,121
30.1257,8,125
30.1425,10,142
30.1445,11,144
30.1466,16,146
30.1492,17,149
31.004,16,3
31.0047,12,4
31.0156,14,15
31.0173,13,17
31.0207,11,20
31.0242,1,24
31.0611,6,61
31.0715,17,71
31.0864,8,86
31.0935,4,93
31.1133,10,113
31.1226,2,122
31.1228,18,122
31.1239,3,123
31.1267,15,126
31.1384,7,138
31.1427,5,142
31.1506,9,150
32.0148,12,14
32.0185,9,18
32.0222,14,22
32.0309,3,30
32.0309,17,30
32.0563,7,56
32.0721,15,72
32.0804,11,80
32.0827,4,82
32.0908,8,90
32.0985,13,98
32.1077,1,107
32.1172,10,117
32.1309,6,130
32.1365,2,136
32.1373,5,137
32.1407,18,140
32.1443,16,144
33.0302,4,30
33.0307,10,30
33.0414,13,41
33.0495,5,49
33.0624,1,62
33.0638,7,63
33.0794,6,79
33.0796,12,79
33.0857,15,85
33.1034,17,103
33.1099,18,109
33.1147,9,114
33.1182,8,118
33.1281,2,128
